Tree,Branch,Trial,elbow_joint,shoulder_lift_joint,shoulder_pan_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,measured diameter,W1 Diameter,W2 Diameter,Mean Diameter,Median Diameter,Contact,Distance from Tree,Time (s)
1,1,1,-0.915463745594025,-2.59004845241689,-0.127542320881979,0.330455704326294,0.852858424186707,1.45205211639404,1.25,1.33204412460327,1.30287528038025,1.32232117652893,1.32232117652893,left (slight),8.5,90
1,1,2,-0.899718761444092,-2.59773888210439,-0.127045933400289,0.319351239795349,0.853098869323731,1.64883923530579,1.25,1.32244777679443,1.30285596847534,1.18415260314941,1.28326416015625,left,8.5,88
1,1,3,-0.90837550163269,-2.59207262615346,-0.131476227437155,0.325727983111999,0.857134819030762,1.52795612812042,1.25,0.66980654001236,0.66980654001236,1.08416724205017,1.29036259651184,left(slight),8.5,87
1,1,4,-0.894910752773285,-2.60062136272573,-0.128990475331442,0.318301125163696,0.854160904884338,1.5709673166275,1.25,1.26968050003052,1.24999558925629,1.9001784324646,1.36810529232025,left,8.5,85
1,1,5,-0.903642952442169,-2.59508766750478,-0.132839504872457,0.322556300754211,0.858564019203186,1.57123792171478,1.25,1.32359373569489,1.30383861064911,1.83146524429321,1.90637016296387,left,8.5,87
,,,,,,,,1.55421054363251,,1.18351453542709,1.16587439775467,1.46445693969727,1.43408467769623,,,87.4
,,,,,,,,89.049704624876,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,1.5708,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,1.45205211639404,83.1964579024176,6.80354209758237,,,,,,,,
,,,,,,1.64883923530579,94.4715292785996,-4.47152927859959,,,,,,,,
,,,,,,1.52795612812042,87.5454374224507,2.45456257754931,,,,,,,,
,,,,,,1.5709673166275,90.009796995748,-0.009796995747962,,,,,,,,
,,,,,,1.57123792171478,90.0253015251639,-0.0253015251638971,,,,,,,,
